0,dialog," Welcome to 'The incluesion Protocol,' where we believe if you can't beat HR software, you might as well laugh at it.",3,,,0
1,instruction," Type 'walk forward'. Let’s face it, it’s the only direction corporate ever wants you to go.",0,walk forward,,0
2,effect," Impressive! Most employees don’t make it past their inbox without a meltdown.",0,,forward,1
3,instruction," Try 'turn left'. Because let's be honest, at least once in your career you've felt you were going the wrong way.",0,turn left,,0
4,effect," Look at that! You’re already more coordinated than the last software update we tried to install.",0,,left,1
5,instruction," Type 'observe report' to examine that mysterious pile of paperwork on your desk.",0,observe report,,0
6,effect," Ah, the 'Urgent' pile. Where tasks go to feel important before they're forgotten.",0,,,1
7,instruction," Feeling adventurous? Type 'eat report' because, frankly, that report has as much flavor as the last team-building lunch.",0,eat report,,0
8,effect," Gourmet choice! Who knew bureaucracy could be part of a balanced diet?",0,,,1
9,instruction," Almost there. Let's do something bold. Type 'sprint to the shiny object.' Consider it the carrot at the end of your corporate stick.",0,sprint to the shiny object,,0
10,effect," And you’ve reached your quarterly goal! Just like real work, except here you actually get a shiny thing.",0,,,1
11,dialog," Congratulations! You’ve successfully navigated 'The incluesion Protocol' tutorial. Remember, in this game, like in the office, sometimes you have to trot before you can gallop... or just look busy until 5 PM rolls around.",0,,,0
